FR #,BR Ref #,Name,Description,MoSCoW Priority,Business Rule(s) / Further Detail,Acceptance Criteria,Functional Area
FR019,BR08,North Bay 9 Full Occupancy,"When Bay 9 is fully occupied, the system shall keep Bays 8 and 10 available, displaying no “Wait” messages",Must,Condition: Bay 9 Fully occupied,When North Bay 9 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 8 and 10 to Available/Unblocked,1. Bays 8 and 10 remain available,
,,,,,Release: NA,2. no “Wait” message is displayed for those bays.,
FR020,BR08,North Bay 10 Full Occupancy,"When Bay 10 is fully occupied, the system shall keep Bays 9 and 11 available, displaying no “Wait” messages",Must,Condition: Bay 10 Fully occupied,When North Bay 10 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 9 and 11 to Available/Unblocked,1. Bays 9 and 11 remain available,
,,,,,Release: NA,2. no “Wait” message is displayed for those bays.,
FR021,BR08,Domestic North Bay 11 Full Occupancy,"When Bay 11 is fully occupied, the system shall keep Bay 10 available with no “Wait” message",Must,Condition: Bay 11 Fully occupied,When North Bay 11 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 10 to Available/Unblocked,1. Bay 10 remains available,
,,,,,Release: NA,2. no “Wait” message is displayed for Bay 10.,
FR022,BR08,South Bay 6 Full Occupancy,"When Bay 6 is fully occupied, the system shall keep Bay 7 available with no “Wait” message",Must,Condition: Bay 6 Fully occupied,When South Bay 6 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 7 to Available/Unblocked,1. Bay 7 remains available,
,,,,,Release: NA,2. no “Wait” message is displayed for Bay 7.,
FR023,BR08,South Bay 7 Full Occupancy,"When Bay 7 is fully occupied, the system shall keep Bays 6 and 8 available, displaying no “Wait” messages",Must,Condition: Bay 7 Fully occupied,When South Bay 7 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 6 and 8 to Available/Unblocked,1. Bays 6 and 8 remain available,
,,,,,Release: NA,2. no “Wait” message is displayed for those bays.,
FR024,BR08,South Bay 8 Full Occupancy,"When Bay 8 is fully occupied, the system shall keep Bay 7 available with no “Wait” message",Must,Condition: Bay 8 Fully occupied,When South Bay 8 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 7 to Available/Unblocked,1. Bay 7 remains available,
,,,,,Release: NA,2. no “Wait” message is displayed for Bay 7.,
FR025,BR08,Domestic South Bay 11 Full Occupancy,"When Bay 11 is fully occupied, the system shall keep Bay 1 through 8 available with no “Wait” message",Must,Condition: Bay 11 Fully occupied,When South Bay 11 is fully occupied:,Inbound Baggage
,,,,,Action: Set Bay 1 through 8 to Available/Unblocked,1. Bay 1 through 8 remains available,
,,,,,Release: NA,2. no “Wait” message is displayed,
